"waterbody_segment","pollutant_name","pollutant_group","test_fraction","n_samples","most_recent_sample_year","n_detects","most_recent_detect_year","n_sample_dates","n_ccc_exceedance","n_cmc_exceedance","n_d_exceedance","most_recent_ccc_exceedance_date","most_recent_ccc_exceedance_year","most_recent_cmc_exceedance_date","most_recent_cmc_exceedance_year","most_recent_d_exceedance_date","most_recent_d_exceedance_year","n_since_most_recent_ccc_exceedance","n_since_most_recent_cmc_exceedance","n_since_most_recent_d_exceedance"
"DALECARLIA TRIBUTARY","DIBENZO_A_H_ANTHRACENE","PAH3",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"DALECARLIA TRIBUTARY","DIELDRIN","DIELDRIN",NA,1,2013,1,"2013",1,0,0,1,NA,"Never",NA,"Never",2013-10-29,"2013",NA,NA,0
"DALECARLIA TRIBUTARY","FLUORANTHENE","PAH2",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"DALECARLIA TRIBUTARY","FLUORENE","PAH1",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"DALECARLIA TRIBUTARY","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,1,2013,1,"2013",1,0,0,1,NA,"Never",NA,"Never",2013-10-29,"2013",NA,NA,0
"DALECARLIA TRIBUTARY","INDENO_1_2_3_CD_PYRENE","PAH3",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"DALECARLIA TRIBUTARY","NAPHTHALENE","PAH1",NA,1,2013,1,"2013",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"DALECARLIA TRIBUTARY","PCB_TOTAL","PCB_TOTAL",NA,1,2013,1,"2013",1,0,0,1,NA,"Never",NA,"Never",2013-10-29,"2013",NA,NA,0
"DALECARLIA TRIBUTARY","PYRENE","PAH2",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"DUMBARTON OAKS","4_4_DDD","DDD",NA,15,2021,0,"Never",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"DUMBARTON OAKS","4_4_DDE","DDE",NA,15,2021,1,"2020",14,1,0,1,2020-08-12,"2020",NA,"Never",2020-08-12,"2020",10,NA,10
"DUMBARTON OAKS","4_4_DDT","DDT",NA,15,2021,3,"2020",14,2,0,3,2020-09-11,"2020",NA,"Never",2020-09-11,"2020",9,NA,9
"DUMBARTON OAKS","ACENAPHTHENE","PAH1",NA,15,2021,0,"Never",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"DUMBARTON OAKS","ANTHRACENE","PAH1",NA,16,2021,0,"Never",15,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"DUMBARTON OAKS","BENZO_A_ANTHRACENE","PAH2",NA,15,2021,0,"Never",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"DUMBARTON OAKS","BENZO_A_PYRENE","PAH3",NA,16,2021,0,"Never",15,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"DUMBARTON OAKS","BENZO_B_FLUORANTHENE","PAH3",NA,15,2021,0,"Never",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"DUMBARTON OAKS","BENZO_K_FLUORANTHENE","PAH3",NA,15,2021,0,"Never",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"DUMBARTON OAKS","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,15,2021,2,"2021",14,2,0,2,2021-02-10,"2021",NA,"Never",2021-02-10,"2021",4,NA,4
