"waterbody_segment","pollutant_group","test_fraction","2020_3030d_listing_category","impaired_use_category","number_of_samples_1990_to_2021","number_of_samples_2016_to_2021","most_recent_sample_year","number_of_detects","most_recent_detect_year","number_of_samples_exceeding_class_d","most_recent_class_d_exceedance","number_of_samples_since_last_class_d_exceedance","has_there_been_multi_class_d_exceedance_in_3yr","when_was_last_period_with_multi_class_d_exceedance"
"OXON RUN","MERCURY","TOTAL","","","11","0","1995","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"PINEHURST BRANCH","MERCURY","TOTAL","","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"PINEY BRANCH","MERCURY","TOTAL","","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"POPE BRANCH","MERCURY","TOTAL","","","1","1","2017","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"PORTAL BRANCH","MERCURY","TOTAL","","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"POTOMAC LOWER","MERCURY","TOTAL","","","65","13","2021","1","1994","1 (D)","1994 (D)","34 (D)","No (D)","Never (D)"
"POTOMAC MIDDLE","MERCURY","TOTAL","","","39","13","2021","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"POTOMAC UPPER","MERCURY","TOTAL","","","26","13","2021","1","1994","1 (D)","1994 (D)","18 (D)","No (D)","Never (D)"
"ROCK CREEK LOWER","MERCURY","TOTAL","","","22","13","2021","1","1991","1 (D)","1991 (D)","21 (D)","No (D)","Never (D)"
"ROCK CREEK UPPER","MERCURY","TOTAL","","","113","102","2021","104","2021","1 (D)","1991 (D)","111 (D)","No (D)","Never (D)"
"SOAPSTONE CREEK","MERCURY","TOTAL","","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"TEXAS AVENUE TRIBUTARY","MERCURY","TOTAL","","","11","0","1995","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"TIDAL BASIN","MERCURY","TOTAL","","","10","0","1995","1","1991","1 (D)","1991 (D)","8 (D)","No (D)","Never (D)"
"WASHINGTON SHIP CHANNEL","MERCURY","TOTAL","","","29","12","2016","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"WATTS BRANCH LOWER","MERCURY","TOTAL","","","14","3","2017","1","2017","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"WATTS BRANCH UPPER","MERCURY","TOTAL","","","137","114","2021","101","2021","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"BATTERY KEMBLE CREEK","MERCURY","TOTAL","","","10","0","1995","2","1994","2 (D)","1994 (D)","4 (D)","No (D)","Never (D)"
"C&O CANAL","MERCURY","TOTAL","","","15","0","1995","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FORT CHAPLIN TRIBUTARY","MERCURY","TOTAL","","","5","0","1995","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FORT DAVIS TRIBUTARY","MERCURY","TOTAL","","","11","0","1995","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FOUNDRY BRANCH","MERCURY","TOTAL","","","7","0","1995","1","1991","1 (D)","1991 (D)","5 (D)","No (D)","Never (D)"
"ANACOSTIA LOWER","ZINC","TOTAL","","","79","40","2021","56","2021","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"ANACOSTIA UPPER","ZINC","TOTAL","","","123","37","2019","89","2019","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"BROAD BRANCH","ZINC","TOTAL","","","23","13","2021","4","2020","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
