site_summary_segment,group_lower,2020_3030d_listing_category,impaired_use_category,number_of_samples_1990_to_2021,number_of_samples_2016_to_2021,most_recent_sample,number_of_detects,most_recent_detect,number_of_samples_exceeding_class_c,most_recent_class_c_exceedance,number_of_samples_since_last_class_c_exceedance,has_there_been_multi_class_c_exceedance_in_3yr,when_was_last_period_with_multi_class_c_exceedance
Fenwick Branch,copper,,,11,NA,2002,0,never,0 (CCC), 0 (CMC),NA (CCC) NA (CMC),NA (CCC), NA (CMC),NA,NA
Fort Chaplin Tributary,copper,,,25,3,2019,14,2019,0 (CCC), 0 (CMC),NA (CCC) NA (CMC),NA (CCC), NA (CMC),NA,NA
Fort Davis Tributary,copper,,,29,3,2019,19,2014,0 (CCC), 0 (CMC),NA (CCC) NA (CMC),NA (CCC), NA (CMC),NA,NA
Fort Dupont Tributary,copper,,,30,16,2021,18,2021,0 (CCC), 0 (CMC),NA (CCC) NA (CMC),NA (CCC), NA (CMC),NA,NA
Fort Stanton Tributary,copper,,,42,16,2021,29,2021,1 (CCC), 1 (CMC),1995 (CCC) 1995 (CMC),32 (CCC), 32 (CMC),NA,NA
Foundry Branch,copper,,,9,NA,2013,9,2013,4 (CCC), 4 (CMC),1995 (CCC) 1995 (CMC),1 (CCC), 1 (CMC),NA,NA
Hickey Run,copper,,,176,102,2021,160,2021,4 (CCC), 3 (CMC),2018 (CCC) 2002 (CMC),71 (CCC), 152 (CMC),NA,NA
Kingman Lake,copper,,,80,27,2019,65,2019,0 (CCC), 0 (CMC),NA (CCC) NA (CMC),NA (CCC), NA (CMC),NA,NA
Klingle Valley Branch,copper,,,10,NA,2002,1,2001,0 (CCC), 0 (CMC),NA (CCC) NA (CMC),NA (CCC), NA (CMC),NA,NA
Lower Beaverdam Creek,copper,,,2,2,2017,2,2017,0 (CCC), 0 (CMC),NA (CCC) NA (CMC),NA (CCC), NA (CMC),NA,NA
Luzon Branch,copper,,,9,NA,2002,1,2001,0 (CCC), 0 (CMC),NA (CCC) NA (CMC),NA (CCC), NA (CMC),NA,NA
Mataponi Creek,copper,,,13,13,2021,5,2021,0 (CCC), 0 (CMC),NA (CCC) NA (CMC),NA (CCC), NA (CMC),NA,NA
Melvin Hazen Valley Branch,copper,,,23,13,2021,9,2021,1 (CCC), 1 (CMC),2020 (CCC) 2020 (CMC),9 (CCC), 9 (CMC),NA,NA
Nash Run,copper,,,16,3,2019,6,2019,0 (CCC), 0 (CMC),NA (CCC) NA (CMC),NA (CCC), NA (CMC),NA,NA
Normanstone Creek,copper,,,10,NA,2002,0,never,0 (CCC), 0 (CMC),NA (CCC) NA (CMC),NA (CCC), NA (CMC),NA,NA
Oxon Run,copper,,,35,13,2021,26,2021,0 (CCC), 0 (CMC),NA (CCC) NA (CMC),NA (CCC), NA (CMC),NA,NA
Patuxent River,copper,,,13,13,2021,4,2021,0 (CCC), 0 (CMC),NA (CCC) NA (CMC),NA (CCC), NA (CMC),NA,NA
Pinehurst Branch,copper,,,10,NA,2002,0,never,0 (CCC), 0 (CMC),NA (CCC) NA (CMC),NA (CCC), NA (CMC),NA,NA
Piney Branch,copper,,,11,NA,2013,1,2013,0 (CCC), 0 (CMC),NA (CCC) NA (CMC),NA (CCC), NA (CMC),NA,NA
Pope Branch,copper,,,10,1,2017,3,2017,0 (CCC), 0 (CMC),NA (CCC) NA (CMC),NA (CCC), NA (CMC),NA,NA
Portal Branch,copper,,,10,NA,2002,0,never,0 (CCC), 0 (CMC),NA (CCC) NA (CMC),NA (CCC), NA (CMC),NA,NA
Potomac Lower,copper,,,116,13,2021,75,2021,0 (CCC), 0 (CMC),NA (CCC) NA (CMC),NA (CCC), NA (CMC),NA,NA
Potomac Middle,copper,,,40,13,2021,27,2021,0 (CCC), 0 (CMC),NA (CCC) NA (CMC),NA (CCC), NA (CMC),NA,NA
Potomac Upper,copper,,,65,13,2021,41,2021,0 (CCC), 0 (CMC),NA (CCC) NA (CMC),NA (CCC), NA (CMC),NA,NA
Rock Creek Lower,copper,,,43,13,2021,25,2021,3 (CCC), 2 (CMC),2020 (CCC) 2020 (CMC),6 (CCC), 6 (CMC),Yes (CCC), Yes (CMC),2018 - 2021 (CCC), 2018 - 2021 (CMC)
Rock Creek Upper,copper,,,210,128,2021,185,2021,0 (CCC), 0 (CMC),NA (CCC) NA (CMC),NA (CCC), NA (CMC),NA,NA
Soapstone Creek,copper,,,11,NA,2002,1,2000,0 (CCC), 0 (CMC),NA (CCC) NA (CMC),NA (CCC), NA (CMC),NA,NA
Texas Avenue Tributary,copper,,,28,3,2019,19,2014,1 (CCC), 1 (CMC),1994 (CCC) 1994 (CMC),24 (CCC), 24 (CMC),NA,NA
Tidal Basin,copper,,,33,NA,2002,15,never,0 (CCC), 0 (CMC),NA (CCC) NA (CMC),NA (CCC), NA (CMC),NA,NA
Washington Ship Channel,copper,,,59,24,2016,49,2016,0 (CCC), 0 (CMC),NA (CCC) NA (CMC),NA (CCC), NA (CMC),NA,NA
Watts Banch,copper,,,3,3,2017,3,2017,0 (CCC), 0 (CMC),NA (CCC) NA (CMC),NA (CCC), NA (CMC),NA,NA
Watts Branch,copper,,,217,100,2021,183,2021,1 (CCC), 0 (CMC),2016 (CCC) NA (CMC),106 (CCC), NA (CMC),NA,NA
Watts Branch - Upper,copper,,,13,13,2021,10,2021,0 (CCC), 0 (CMC),NA (CCC) NA (CMC),NA (CCC), NA (CMC),NA,NA
Anacostia Lower,ddd,,,59,43,2021,5,2018,2 (CCC), 0 (CMC),2018 (CCC) NA (CMC),15 (CCC), NA (CMC),NA,NA
Anacostia Upper,ddd,,,116,97,2021,49,2018,4 (CCC), 0 (CMC),2018 (CCC) NA (CMC),35 (CCC), NA (CMC),Yes (CCC), No (CMC),2018 - 2021 (CCC), Never (CMC)
Battery Kemble Creek,ddd,,,NA,NA,NA,NA,NA,NA (CCC), NA (CMC),NA,NA (CCC), NA (CMC),NA,NA
Broad Branch,ddd,,,14,13,2021,0,never,0 (CCC), 0 (CMC),NA (CCC) NA (CMC),NA (CCC), NA (CMC),NA,NA
C&O Canal,ddd,,,NA,NA,NA,NA,NA,NA (CCC), NA (CMC),NA,NA (CCC), NA (CMC),NA,NA
Dalecarlia Tributary,ddd,,,1,NA,2013,0,never,0 (CCC), 0 (CMC),NA (CCC) NA (CMC),NA (CCC), NA (CMC),NA,NA
Dumbarton Oaks Tributary,ddd,,,14,13,2021,0,never,0 (CCC), 0 (CMC),NA (CCC) NA (CMC),NA (CCC), NA (CMC),NA,NA
Fenwick Branch,ddd,,,1,NA,2013,0,never,0 (CCC), 0 (CMC),NA (CCC) NA (CMC),NA (CCC), NA (CMC),NA,NA
Fort Chaplin Tributary,ddd,,,NA,NA,NA,NA,NA,NA (CCC), NA (CMC),NA,NA (CCC), NA (CMC),NA,NA
Fort Davis Tributary,ddd,,,NA,NA,NA,NA,NA,NA (CCC), NA (CMC),NA,NA (CCC), NA (CMC),NA,NA
Fort Dupont Tributary,ddd,,,13,13,2021,0,never,0 (CCC), 0 (CMC),NA (CCC) NA (CMC),NA (CCC), NA (CMC),NA,NA
Fort Stanton Tributary,ddd,,,16,13,2021,1,2020,1 (CCC), 0 (CMC),2020 (CCC) NA (CMC),11 (CCC), NA (CMC),NA,NA
Foundry Branch,ddd,,,NA,NA,NA,NA,NA,NA (CCC), NA (CMC),NA,NA (CCC), NA (CMC),NA,NA
Hickey Run,ddd,,,5,2,2019,2,2018,1 (CCC), 0 (CMC),2018 (CCC) NA (CMC),1 (CCC), NA (CMC),NA,NA
Kingman Lake,ddd,,,24,15,2019,4,2018,1 (CCC), 0 (CMC),2018 (CCC) NA (CMC),1 (CCC), NA (CMC),NA,NA
Klingle Valley Branch,ddd,,,1,NA,2013,0,never,0 (CCC), 0 (CMC),NA (CCC) NA (CMC),NA (CCC), NA (CMC),NA,NA
Lower Beaverdam Creek,ddd,,,NA,NA,NA,NA,NA,NA (CCC), NA (CMC),NA,NA (CCC), NA (CMC),NA,NA
Luzon Branch,ddd,,,1,NA,2013,0,never,0 (CCC), 0 (CMC),NA (CCC) NA (CMC),NA (CCC), NA (CMC),NA,NA
Mataponi Creek,ddd,,,13,13,2021,0,never,0 (CCC), 0 (CMC),NA (CCC) NA (CMC),NA (CCC), NA (CMC),NA,NA
Melvin Hazen Valley Branch,ddd,,,14,13,2021,1,2020,1 (CCC), 0 (CMC),2020 (CCC) NA (CMC),9 (CCC), NA (CMC),NA,NA
Nash Run,ddd,,,6,3,2019,3,2018,1 (CCC), 0 (CMC),2018 (CCC) NA (CMC),1 (CCC), NA (CMC),NA,NA
Normanstone Creek,ddd,,,1,NA,2013,0,never,0 (CCC), 0 (CMC),NA (CCC) NA (CMC),NA (CCC), NA (CMC),NA,NA
Oxon Run,ddd,,,14,13,2021,0,never,0 (CCC), 0 (CMC),NA (CCC) NA (CMC),NA (CCC), NA (CMC),NA,NA
Patuxent River,ddd,,,13,13,2021,0,never,0 (CCC), 0 (CMC),NA (CCC) NA (CMC),NA (CCC), NA (CMC),NA,NA
Pinehurst Branch,ddd,,,1,NA,2013,0,never,0 (CCC), 0 (CMC),NA (CCC) NA (CMC),NA (CCC), NA (CMC),NA,NA
Piney Branch,ddd,,,1,NA,2013,0,never,0 (CCC), 0 (CMC),NA (CCC) NA (CMC),NA (CCC), NA (CMC),NA,NA
Pope Branch,ddd,,,6,3,2019,3,never,0 (CCC), 0 (CMC),NA (CCC) NA (CMC),NA (CCC), NA (CMC),NA,NA
Portal Branch,ddd,,,1,NA,2013,0,never,0 (CCC), 0 (CMC),NA (CCC) NA (CMC),NA (CCC), NA (CMC),NA,NA
Potomac Lower,ddd,,,13,13,2021,0,never,0 (CCC), 0 (CMC),NA (CCC) NA (CMC),NA (CCC), NA (CMC),NA,NA
Potomac Middle,ddd,,,13,13,2021,0,never,0 (CCC), 0 (CMC),NA (CCC) NA (CMC),NA (CCC), NA (CMC),NA,NA
Potomac Upper,ddd,,,13,13,2021,0,never,0 (CCC), 0 (CMC),NA (CCC) NA (CMC),NA (CCC), NA (CMC),NA,NA
