"site_summary_segment","group_lower","2020_3030d_listing_category","impaired_use_category","number_of_samples_1990_to_2021","number_of_samples_2016_to_2021","most_recent_sample","number_of_detects","most_recent_detect","number_of_samples_exceeding_class_d","most_recent_class_d_exceedance","number_of_samples_since_last_class_d_exceedance","has_there_been_multi_class_d_exceedance_in_3yr","when_was_last_period_with_multi_class_d_exceedance"
"Fort Dupont Tributary","ddd","","",13,13,2021,0,"never",0,NA,NA,NA,NA
"Fort Stanton Tributary","ddd","","",16,13,2021,1,"2020",1,2020,11,"No","Never"
"Foundry Branch","ddd","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hickey Run","ddd","","",5,2,2019,1,"2018",1,2018,1,"No","Never"
"Kingman Lake","ddd","","",24,15,2019,3,"2018",3,2018,1,"Yes","2016 - 2019"
"Klingle Valley Branch","ddd","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"Lower Beaverdam Creek","ddd","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luzon Branch","ddd","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"Mataponi Creek","ddd","","",13,13,2021,0,"never",0,NA,NA,NA,NA
"Melvin Hazen Valley Branch","ddd","","",14,13,2021,1,"2020",1,2020,9,"No","Never"
"Nash Run","ddd","","",6,3,2019,1,"2018",1,2018,1,"No","Never"
"Normanstone Creek","ddd","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"Oxon Run","ddd","","",14,13,2021,0,"never",0,NA,NA,NA,NA
"Patuxent River","ddd","","",13,13,2021,0,"never",0,NA,NA,NA,NA
"Pinehurst Branch","ddd","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"Piney Branch","ddd","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"Pope Branch","ddd","","",6,3,2019,0,"never",0,NA,NA,NA,NA
"Portal Branch","ddd","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"Potomac Lower","ddd","","",13,13,2021,0,"never",0,NA,NA,NA,NA
"Potomac Middle","ddd","","",13,13,2021,0,"never",0,NA,NA,NA,NA
"Potomac Upper","ddd","","",13,13,2021,0,"never",0,NA,NA,NA,NA
"Rock Creek Lower","ddd","","",13,13,2021,1,"2020",1,2020,6,"No","Never"
"Rock Creek Upper","ddd","","",21,21,2021,0,"never",0,NA,NA,NA,NA
"Soapstone Creek","ddd","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"Texas Avenue Tributary","ddd","","",6,3,2019,5,"2018",5,2018,1,"Yes","2018 - 2021"
"Tidal Basin","ddd","","",3,NA,2014,0,"never",0,NA,NA,NA,NA
"Washington Ship Channel","ddd","","",19,12,2016,0,"never",0,NA,NA,NA,NA
"Watts Banch","ddd","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Watts Branch","ddd","","",6,3,2019,1,"2018",1,2018,1,"No","Never"
"Watts Branch - Upper","ddd","","",13,13,2021,0,"never",0,NA,NA,NA,NA
"Anacostia Lower","dde","","",59,43,2021,0,"never",0,NA,NA,NA,NA
"Anacostia Upper","dde","","",116,97,2021,1,"2018",1,2018,61,"No","Never"
"Battery Kemble Creek","dde","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Broad Branch","dde","","",14,13,2021,0,"never",0,NA,NA,NA,NA
"C&O Canal","dde","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dalecarlia Tributary","dde","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"Dumbarton Oaks Tributary","dde","","",14,13,2021,1,"2020",1,2020,10,"No","Never"
"Fenwick Branch","dde","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"Fort Chaplin Tributary","dde","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fort Davis Tributary","dde","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fort Dupont Tributary","dde","","",13,13,2021,0,"never",0,NA,NA,NA,NA
"Fort Stanton Tributary","dde","","",16,13,2021,1,"2020",1,2020,6,NA,NA
"Foundry Branch","dde","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hickey Run","dde","","",5,2,2019,1,"2014",1,2014,2,NA,NA
"Kingman Lake","dde","","",24,15,2019,0,"never",0,NA,NA,NA,NA
"Klingle Valley Branch","dde","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"Lower Beaverdam Creek","dde","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luzon Branch","dde","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"Mataponi Creek","dde","","",13,13,2021,1,"2020",0,NA,NA,NA,NA
"Melvin Hazen Valley Branch","dde","","",14,13,2021,1,"2020",1,2020,9,"No","Never"
"Nash Run","dde","","",6,3,2019,0,"never",0,NA,NA,NA,NA
"Normanstone Creek","dde","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"Oxon Run","dde","","",14,13,2021,0,"never",0,NA,NA,NA,NA
"Patuxent River","dde","","",13,13,2021,1,"2020",0,NA,NA,NA,NA
"Pinehurst Branch","dde","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"Piney Branch","dde","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"Pope Branch","dde","","",6,3,2019,1,"2014",1,2014,3,NA,NA
"Portal Branch","dde","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"Potomac Lower","dde","","",13,13,2021,0,"never",0,NA,NA,NA,NA
