"waterbody_segment","pollutant_group","2020_3030d_listing_category","impaired_use_category","number_of_samples_1990_to_2021","number_of_samples_2016_to_2021","most_recent_sample","number_of_detects","most_recent_detect","number_of_samples_exceeding_class_d","most_recent_class_d_exceedance","number_of_samples_since_last_class_d_exceedance","has_there_been_multi_class_d_exceedance_in_3yr","when_was_last_period_with_multi_class_d_exceedance"
"ANACOSTIA UPPER","DDT","","",105,86,2019,16,"2018",16,2018,23,"Yes","2018 - 2021"
"BATTERY KEMBLE CREEK","DDT","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BROAD BRANCH","DDT","","",14,13,2021,2,"2021",2,2021,3,"Yes","2018 - 2021"
"C&O CANAL","DDT","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DALECARLIA TRIBUTARY","DDT","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"DUMBARTON OAKS","DDT","","",15,13,2021,3,"2020",3,2020,9,"Yes","2018 - 2021"
"FENWICK BRANCH","DDT","","",1,NA,2013,1,"2013",1,2013,0,NA,NA
"FORT CHAPLIN TRIBUTARY","DDT","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FORT DAVIS TRIBUTARY","DDT","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FORT DUPONT TRIBUTARY","DDT","","",13,13,2021,1,"2020",1,2020,9,NA,NA
"FORT STANTON TRIBUTARY","DDT","","",17,13,2021,0,"never",0,NA,NA,NA,NA
"FOUNDRY BRANCH","DDT","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HICKEY RUN","DDT","","",6,3,2019,0,"never",0,NA,NA,NA,NA
"KINGMAN LAKE","DDT","","",25,15,2019,3,"2016",3,2016,3,"Yes","2016 - 2019"
"KLINGLE VALLEY","DDT","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"LUZON BRANCH","DDT","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"MELVIN HAZEN VALLEY BRANCH","DDT","","",14,13,2021,2,"2020",2,2020,10,"Yes","2018 - 2021"
"NASH RUN","DDT","","",7,3,2019,0,"never",0,NA,NA,NA,NA
"NORMANSTONE CREEK","DDT","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"OXON RUN","DDT","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"PINEHURST BRANCH","DDT","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"PINEY BRANCH","DDT","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
